Mandebroot set from (-2.125+I -1.5) to (0.875+I 1.5)
resolution 67108864 pixel, Max. n. of iterations 4096 - Using 22 workers

NOTE: using farm template WITH the collector module!

amf started
amf joined
[Predictors] Minimum number of points required for calibration: 3
[Predictors] [Calibrator]: NumPoints: 0 MinNumPoints: 3
[Predictors] Refining with configuration [18, 2, 1.6e+06, ]: 0.00399279
[Predictors] Refining with configuration [20, 2, 1.6e+06, ]: 54.8311
[Predictors] [Calibrator]: NumPoints: 1 MinNumPoints: 3
[Predictors] Refining with configuration [1, 2, 1.8e+06, ]: 0.067748
[Predictors] Refining with configuration [3, 2, 1.8e+06, ]: 25.6723
[Predictors] [Calibrator]: NumPoints: 2 MinNumPoints: 3
[Predictors] Refining with configuration [15, 2, 1.3e+06, ]: 0.00635362
[Predictors] Refining with configuration [17, 2, 1.3e+06, ]: 39.0363
[Predictors] Error in model: 1.25637e-33
[Predictors] ========================== Preparing for predictions: ========================== 
[Predictors] Error in model: 3.2961e-15
[Predictors] ========================== Preparing for predictions: ========================== 
[Predictors] Best solution found [1, 2, 1.5e+06, ]
[Predictors] Primary prediction: 12.2495
[Predictors] Secondary prediction: 24.2059
[Predictors] [Calibrator]: Moving to validate prediction.
[Predictors] Refining with configuration [1, 2, 1.5e+06, ]: 0.0927505
[Predictors] Refining with configuration [3, 2, 1.5e+06, ]: 21.7744
[Predictors] Primary prediction: 12.2495 Secondary prediction: 24.2059
[Predictors] Primary error: 13.6146 Secondary error: 11.1672
[Predictors] [Calibrator]: High prediction error. Adding new seed.
[Predictors] Refining with configuration [2, 2, 1.3e+06, ]: 0.0550262
[Predictors] Refining with configuration [4, 2, 1.3e+06, ]: 21.2165
[Predictors] Error in model: 5.83626e-06
[Predictors] ========================== Preparing for predictions: ========================== 
[Predictors] Error in model: 5.63575e-06
[Predictors] ========================== Preparing for predictions: ========================== 
[Predictors] Best solution found [2, 2, 1.2e+06, ]
[Predictors] Primary prediction: 16.2262
[Predictors] Secondary prediction: 18.4888
[Predictors] [Calibrator]: Prediction forced.
[Predictors] Refining with configuration [2, 2, 1.2e+06, ]: 0.0590997
[Predictors] Refining with configuration [4, 2, 1.2e+06, ]: 20.4197
[Predictors] Primary prediction: 16.2262 Secondary prediction: 18.4888
[Predictors] Primary error: 4.10362 Secondary error: 9.45598
[Predictors] [Calibrator]: Moving to finished
[Predictors] [Calibrator]: Finished in 5 steps with configuration [2, 2, 1.2e+06, ]
[Predictors] Refining with configuration [2, 2, 1.2e+06, ]: 0.0882789
[Predictors] Replacing [2, 2, 1.2e+06, ]
[Predictors] Refining with configuration [4, 2, 1.2e+06, ]: 20.241
[Predictors] Replacing [4, 2, 1.2e+06, ]
[Predictors] Refining with configuration [9, 2, 2.1e+06, ]: 0.0117854
[Predictors] Refining with configuration [11, 2, 2.1e+06, ]: 45.8654
[Predictors] Refining with configuration [20, 2, 2.1e+06, ]: 0.00563314
[Predictors] Refining with configuration [22, 2, 2.1e+06, ]: 75.9245
[Predictors] Refining with configuration [1, 2, 1.4e+06, ]: 0.172233
[Predictors] Refining with configuration [3, 2, 1.4e+06, ]: 20.829
[Predictors] Refining with configuration [21, 2, 2.1e+06, ]: 0.00515038
[Predictors] Refining with configuration [23, 2, 2.1e+06, ]: 78.1904
[Predictors] Refining with configuration [14, 2, 1.8e+06, ]: 0.00757427
[Predictors] Refining with configuration [16, 2, 1.8e+06, ]: 52.1349
[Predictors] Refining with configuration [5, 2, 2.3e+06, ]: 0.0133834
[Predictors] Refining with configuration [7, 2, 2.3e+06, ]: 39.921
[Predictors] Refining with configuration [7, 2, 1.6e+06, ]: 0.0131105
[Predictors] Refining with configuration [9, 2, 1.6e+06, ]: 33.8262
[Predictors] Refining with configuration [9, 2, 1.5e+06, ]: 0.0103347
[Predictors] Refining with configuration [11, 2, 1.5e+06, ]: 34.2205
[Predictors] Refining with configuration [1, 2, 1.9e+06, ]: 0.029157
[Predictors] Refining with configuration [3, 2, 1.9e+06, ]: 25.5257
[Predictors] Refining with configuration [15, 2, 2.1e+06, ]: 0.000179517
[Predictors] Refining with configuration [17, 2, 2.1e+06, ]: 42.541
Run [0] DONE, time= 95609.9 (ms)
Average on 1 experiments = 95609.9 (ms) Std. Dev. 0

Press a key

