Mandebroot set from (-2.125+I -1.5) to (0.875+I 1.5)
resolution 67108864 pixel, Max. n. of iterations 4096 - Using 22 workers

NOTE: using farm template WITH the collector module!

amf started
amf joined
[Predictors] Minimum number of points required for calibration: 3
[Predictors] [Calibrator]: NumPoints: 0 MinNumPoints: 3
[Predictors] Refining with configuration [5, 2, 1.6e+06, ]: 0.00946545
[Predictors] Refining with configuration [7, 2, 1.6e+06, ]: 33.9003
[Predictors] [Calibrator]: NumPoints: 1 MinNumPoints: 3
[Predictors] Refining with configuration [8, 2, 1.2e+06, ]: 0.0106123
[Predictors] Refining with configuration [10, 2, 1.2e+06, ]: 27.506
[Predictors] [Calibrator]: NumPoints: 2 MinNumPoints: 3
[Predictors] Refining with configuration [2, 2, 1.5e+06, ]: 0.0395879
[Predictors] Refining with configuration [4, 2, 1.5e+06, ]: 23.2364
[Predictors] Error in model: 8.82718e-35
[Predictors] ========================== Preparing for predictions: ========================== 
[Predictors] Error in model: 2.12853e-14
[Predictors] ========================== Preparing for predictions: ========================== 
[Predictors] Best solution found [4, 2, 1.2e+06, ]
[Predictors] Primary prediction: 39.5793
[Predictors] Secondary prediction: 20.9486
[Predictors] [Calibrator]: Moving to validate prediction.
[Predictors] Refining with configuration [4, 2, 1.2e+06, ]: 0.0254355
[Predictors] Refining with configuration [6, 2, 1.2e+06, ]: 22.6035
[Predictors] Primary prediction: 39.5793 Secondary prediction: 20.9486
[Predictors] Primary error: 0.671701 Secondary error: 7.32139
[Predictors] [Calibrator]: Moving to finished
[Predictors] [Calibrator]: Finished in 3 steps with configuration [4, 2, 1.2e+06, ]
[Predictors] Refining with configuration [4, 2, 1.2e+06, ]: 0.0284938
[Predictors] Replacing [4, 2, 1.2e+06, ]
[Predictors] Refining with configuration [6, 2, 1.2e+06, ]: 22.6282
[Predictors] Replacing [6, 2, 1.2e+06, ]
[Predictors] Refining with configuration [13, 2, 1.4e+06, ]: 0.00792055
[Predictors] Refining with configuration [15, 2, 1.4e+06, ]: 38.7091
[Predictors] Refining with configuration [22, 2, 1.4e+06, ]: 0.00572364
[Predictors] Refining with configuration [24, 2, 1.4e+06, ]: 51.9623
[Predictors] Refining with configuration [9, 2, 1.7e+06, ]: 0.0111766
[Predictors] Refining with configuration [11, 2, 1.7e+06, ]: 37.8781
[Predictors] Refining with configuration [12, 2, 1.4e+06, ]: 0.00933247
[Predictors] Refining with configuration [14, 2, 1.4e+06, ]: 37.2953
[Predictors] Refining with configuration [9, 2, 1.8e+06, ]: 0.00860112
[Predictors] Refining with configuration [11, 2, 1.8e+06, ]: 39.9036
[Predictors] Refining with configuration [18, 2, 1.2e+06, ]: 0.00562534
[Predictors] Refining with configuration [20, 2, 1.2e+06, ]: 39.9205
[Predictors] Refining with configuration [9, 2, 2.2e+06, ]: 0.000407405
[Predictors] Refining with configuration [11, 2, 2.2e+06, ]: 48.3405
Run [0] DONE, time= 43320.8 (ms)
Average on 1 experiments = 43320.8 (ms) Std. Dev. 0

Press a key

