End of stream in input
[Predictors] Minimum number of points required for calibration: 3
[Predictors] [Calibrator]: NumPoints: 0 MinNumPoints: 3
[Predictors] Refining with configuration [16, 2, 2.3e+06, ]: 76.8491
[Predictors] Refining with configuration [14, 2, 2.3e+06, ]: 0.000442449
[Predictors] [Calibrator]: NumPoints: 1 MinNumPoints: 3
[Predictors] Refining with configuration [5, 2, 2.3e+06, ]: 41.962
[Predictors] Refining with configuration [3, 2, 2.3e+06, ]: 0.00158312
[Predictors] [Calibrator]: NumPoints: 2 MinNumPoints: 3
[Predictors] Refining with configuration [15, 2, 2.2e+06, ]: 71.4837
[Predictors] Refining with configuration [13, 2, 2.2e+06, ]: 0.000485309
[Predictors] Error in model: 2.43086e-14
[Predictors] ========================== Preparing for predictions: ========================== 
[Predictors] Error in model: 8.03254e-38
[Predictors] ========================== Preparing for predictions: ========================== 
[Predictors] Suboptimal solution found.
[Predictors] [Calibrator]: Moving to validate prediction.
[Predictors] Refining with configuration [3, 2, 1.2e+06, ]: 21.1434
[Predictors] Refining with configuration [1, 2, 1.2e+06, ]: 0.00569815
[Predictors] Primary prediction: 31.4605
[Predictors] Primary error: 48.7958
[Predictors] [Calibrator]: High prediction error. Adding new seed.
[Predictors] Refining with configuration [6, 2, 1.5e+06, ]: 29.1179
[Predictors] Refining with configuration [4, 2, 1.5e+06, ]: 0.00209711
[Predictors] Error in model: 0.275701
[Predictors] ========================== Preparing for predictions: ========================== 
[Predictors] Error in model: 5.04886e-08
[Predictors] ========================== Preparing for predictions: ========================== 
[Predictors] Best solution found [6, 2, 1.4e+06, ]
[Predictors] Primary prediction: 27.9193
[Predictors] Secondary prediction: 545.637
[Predictors] [Calibrator]: Prediction forced.
[Predictors] Refining with configuration [8, 2, 1.4e+06, ]: 30.4146
[Predictors] Refining with configuration [6, 2, 1.4e+06, ]: 0.00180496
[Predictors] Primary prediction: 27.9193 Secondary prediction: 545.637
[Predictors] Primary error: 8.20432 Secondary error: 1.51495
[Predictors] Error in model: 0.464396
[Predictors] ========================== Preparing for predictions: ========================== 
[Predictors] Error in model: 4.21194e-08
[Predictors] ========================== Preparing for predictions: ========================== 
[Predictors] Best solution found [9, 2, 1.2e+06, ]
[Predictors] Primary prediction: 28.5335
[Predictors] Secondary prediction: 503.444
[Predictors] [Calibrator]: Low error but the contract is violated, adjusting.
[Predictors] [Calibrator]: Moving to finished
[Predictors] [Calibrator]: Finished in 6 steps with configuration [9, 2, 1.2e+06, ]
[Predictors] Refining with configuration [11, 2, 1.2e+06, ]: 32.3704
[Predictors] Refining with configuration [9, 2, 1.2e+06, ]: 0.00129842
[Predictors] Refining with configuration [9, 2, 2.3e+06, ]: 55.4217
[Predictors] Refining with configuration [7, 2, 2.3e+06, ]: 0.000833459
[Predictors] Refining with configuration [10, 2, 1.3e+06, ]: 33.6455
[Predictors] Refining with configuration [8, 2, 1.3e+06, ]: 0.00125783
[Predictors] Refining with configuration [14, 2, 1.4e+06, ]: 43.113
[Predictors] Refining with configuration [12, 2, 1.4e+06, ]: 0.000864888
[Predictors] Refining with configuration [7, 2, 1.9e+06, ]: 43.1682
[Predictors] Refining with configuration [5, 2, 1.9e+06, ]: 0.0012119
[Predictors] Refining with configuration [14, 2, 2.2e+06, ]: 68.5622
[Predictors] Refining with configuration [12, 2, 2.2e+06, ]: 0.000582539
[Predictors] Refining with configuration [18, 2, 1.8e+06, ]: 67.2896
[Predictors] Refining with configuration [16, 2, 1.8e+06, ]: 0.000496084
[Predictors] Refining with configuration [17, 2, 2.4e+06, ]: 89.1927
[Predictors] Refining with configuration [15, 2, 2.4e+06, ]: 0.000379754
[Predictors] Refining with configuration [3, 2, 1.9e+06, ]: 33.1959
[Predictors] Refining with configuration [1, 2, 1.9e+06, ]: 0.00366605
[Predictors] Refining with configuration [6, 2, 2e+06, ]: 43.0121
[Predictors] Refining with configuration [4, 2, 2e+06, ]: 0.0013945
[Predictors] Refining with configuration [5, 2, 2e+06, ]: 39.2082
[Predictors] Refining with configuration [3, 2, 2e+06, ]: 0.00174565
[Predictors] Refining with configuration [11, 2, 1.7e+06, ]: 45.3767
[Predictors] Refining with configuration [9, 2, 1.7e+06, ]: 0.000909972
[Predictors] Refining with configuration [8, 2, 2.4e+06, ]: 54.2436
[Predictors] Refining with configuration [6, 2, 2.4e+06, ]: 0.000927854
[Predictors] Refining with configuration [10, 2, 1.6e+06, ]: 40.7248
[Predictors] Refining with configuration [8, 2, 1.6e+06, ]: 0.0010379
[Predictors] Refining with configuration [21, 2, 1.7e+06, ]: 65.7034
[Predictors] Refining with configuration [19, 2, 1.7e+06, ]: 0.00055271
